;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value
3;age_class;3;5.23;0.155;23.83;0;1.46;0.692;1.38;0.71;2.62;0.455;10.28;0.016;41.53;0;5.03;0.169;;;;;;;;;;;;;;;;
4;samcam;1;0.02;0.895;11.87;0.001;7.56;0.006;1.87;0.171;0.64;0.423;4.55;0.033;3.79;0.052;0.02;0.899;;;;;;;;;;;;;;;;
5;age_class:samcam;3;5.3;0.151;15.17;0.002;1.38;0.71;2.69;0.443;1.32;0.725;16.18;0.001;13.83;0.003;5.4;0.145;;;;;;;;;;;;;;;;
6;R2m;NA;NA;0.07;NA;0.1;NA;0.18;NA;0.02;NA;0.06;NA;0.2;NA;0.14;NA;0.06;;;;;;;;;;;;;;;;
7;R2c;NA;NA;0.17;NA;0.1;NA;0.23;NA;0.05;NA;0.23;NA;0.41;NA;0.14;NA;0.21;;;;;;;;;;;;;;;;
8;X;X;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;;;;;;;;;;;;;;;;
;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value
2;age_class;4;17.32;0.002;16.15;0.003;11.09;0.026;2.61;0.624;1.73;0.786;9.15;0.057;24.5;0;3.43;0.489;75.05;0;19.74;0.001;27.4;0;21.02;0;24.86;0;43.15;0;181.53;0;51.32;0
3;R2m;NA;NA;0.12;NA;0.09;NA;0.24;NA;0.02;NA;0.02;NA;0.12;NA;0.1;NA;0.04;NA;0.83;NA;0.55;NA;0.73;NA;0.57;NA;0.61;NA;0.73;NA;0.92;NA;0.77
4;R2c;NA;NA;0.12;NA;0.09;NA;0.24;NA;0.02;NA;0.02;NA;0.12;NA;0.1;NA;0.04;NA;0.83;NA;0.55;NA;0.73;NA;0.57;NA;0.61;NA;0.73;NA;0.92;NA;0.77
5;X;X;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial
;Env;DF;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2;fungivores;fungivores;bacterivores;bacterivores;carnivores;carnivores;omnivores;omnivores;Tylenchidae;Tylenchidae;herbivores;herbivores;herbivores2;herbivores2;fungivores2;fungivores2
1;X;X;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value;CHI2;p-value
2;NA;NA;12.07;0.017;11.46;0.022;13.33;0.01;2.5;0.645;1.63;0.804;7.22;0.125;15.59;0.004;3.15;0.533;26.45;0;13.1;0.011;19.44;0.001;13.8;0.008;15.36;0.004;21.36;0;42;0;23.56;0
3;R2m;NA;NA;0.12;NA;0.09;NA;0.24;NA;0.02;NA;0.02;NA;0.12;NA;0.1;NA;0.04;NA;0.83;NA;0.55;NA;0.73;NA;0.57;NA;0.61;NA;0.73;NA;0.92;NA;0.77
4;R2c;NA;NA;0.12;NA;0.09;NA;0.24;NA;0.02;NA;0.02;NA;0.12;NA;0.1;NA;0.04;NA;0.83;NA;0.55;NA;0.73;NA;0.57;NA;0.61;NA;0.73;NA;0.92;NA;0.77
5;X;X;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial;binomial
;Contrast;;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value
1;A_Cm - avg(B_Sp_young,C_Sp_int1,D_Sp_int2,E_Sp_old);;-0.069;0.002;0.197;0.003;-0.023;0.006;0.013;0.341;-0.01;0.945;-0.1;0.435;-0.127;0.057;-0.065;0.439;-312.837;0;-592.146;0.005;-55.752;0;-99.277;0;-393.894;0;-791.533;0;-1390.489;0;-759.017;0
;Contrast;;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value;estimate;p-value
1;B_Sp_young - A_Cm;;0.03;0.369;-0.226;0.066;0.035;0.005;-0.007;0.977;-0.024;0.976;0.096;0.855;0.183;0.154;-0.003;1;15.576;0.397;-37.694;0.973;15.039;0.014;19.511;0.6;31.151;0.828;105.859;0.286;352.144;0;68.864;0.438
2;C_Sp_int1 - A_Cm;;0.136;0;-0.047;0.962;0.021;0.039;-0.018;0.771;-0.004;1;-0.081;0.798;-0.134;0.303;0.118;0.648;651.971;0;1242.875;0.005;65.084;0;122.095;0.003;523.71;0.001;518.362;0.001;1018.466;0;1290.202;0
3;D_Sp_int2 - A_Cm;;0.066;0.031;-0.199;0.136;0.021;0.04;0.001;1;0.096;0.715;-0.007;1;0.142;0.347;0.165;0.433;368.688;0;877.791;0.007;93.511;0;174.796;0;730.045;0;634.513;0;1985.074;0;1200.807;0
4;E_Sp_old - A_Cm;;0.042;0.175;-0.317;0.001;0.012;0.194;-0.027;0.423;-0.027;0.965;0.39;0.057;0.317;0.002;-0.019;0.991;215.115;0;285.612;0.332;49.374;0;80.707;0.023;290.668;0.016;1907.396;0;2206.272;0;476.194;0
